c1, c2, w, penalty, epochs
0.601321,1.7986,1,329.594,600
intacia, melhor_gap, melhor_fit, gap_medio, fit_medio, fobj_medio, dp, tempo(ms)
data\OR10x250-0.75_7.dat, 1.21334, 151273, 12.229, 134405, 134405, 3.75137, 22592
data\OR10x250-0.75_8.dat, 6.90919, 142967, 12.8038, 133914, 133914, 2.2204, 23356
data\OR10x250-0.75_9.dat, 3.60351, 143785, 12.2086, 130950, 130950, 3.38261, 23142
data\OR10x500-0.25_1.dat, 5.91151, 110856, 12.9028, -1.72753e+08, 102619, 5.10448, 40943
data\OR10x500-0.25_10.dat, 5.1421, 113119, 12.2728, -1.90561e+08, 104616, 5.07893, 41206
data\OR10x500-0.25_2.dat, 4.23484, 114199, 14.0295, -1.65087e+08, 102519, 6.27139, 43544
data\OR10x500-0.25_3.dat, 6.15946, 111872, 14.1099, -1.65022e+08, 102394, 5.28581, 43227
data\OR10x500-0.25_4.dat, 4.4543, 113536, 13.5262, -1.66182e+08, 102756, 6.05825, 43197
data\OR10x500-0.25_5.dat, 4.64859, 111113, 14.1649, -1.64014e+08, 100024, 4.97351, 43758
data\OR10x500-0.25_6.dat, 4.76971, 113804, 16.3935, -1.54085e+08, 99913.1, 5.73609, 42729
data\OR10x500-0.25_7.dat, 8.66499, 109444, 16.1787, -1.53837e+08, 100441, 5.57805, 41584
data\OR10x500-0.25_8.dat, 2.62371, 115239, 13.0978, -1.909e+08, 102844, 5.58762, 42230
data\OR10x500-0.25_9.dat, 4.01647, 113083, 14.9989, -1.42281e+08, 100144, 6.66737, 43325
data\OR10x500-0.50_1.dat, 11.4736, 192436, 12.2134, 190828, 190828, 0.389386, 44926
data\OR10x500-0.50_10.dat, 5.21053, 209389, 11.9341, 194537, 194537, 1.48635, 45376
data\OR10x500-0.50_2.dat, 7.03406, 203667, 12.5927, 191489, 191489, 1.16658, 46799
data\OR10x500-0.50_3.dat, 9.66871, 196784, 12.7147, 190148, 190148, 0.746029, 45920
data\OR10x500-0.50_4.dat, 8.88006, 197610, 12.8282, 189048, 189048, 0.947423, 45073
data\OR10x500-0.50_5.dat, 9.64825, 193238, 12.27, 187631, 187631, 0.667729, 45759
data\OR10x500-0.50_6.dat, 11.9515, 189380, 13.0546, 187007, 187007, 0.367186, 45936
data\OR10x500-0.50_7.dat, 8.40965, 199612, 12.6797, 190306, 190306, 0.866174, 46684
data\OR10x500-0.50_8.dat, 9.40725, 199295, 12.4041, 192702, 192702, 0.766931, 46800
data\OR10x500-0.50_9.dat, 10.8148, 191197, 12.7188, 187115, 187115, 0.520453, 45888
data\OR10x500-0.75_1.dat, 7.16752, 282570, 19.8872, 243853, 243853, 2.95485, 44583
data\OR10x500-0.75_10.dat, 2.53575, 299302, 18.225, 251122, 251122, 5.33007, 43462
data\OR10x500-0.75_2.dat, 10.509, 270602, 20.3192, 240938, 240938, 2.4774, 44149
data\OR10x500-0.75_3.dat, 5.32344, 286318, 19.0991, 244658, 244658, 3.64553, 45312
data\OR10x500-0.75_4.dat, 5.97272, 282819, 18.4038, 245428, 245428, 4.57748, 41794
data\OR10x500-0.75_5.dat, 7.28906, 282188, 19.2482, 245788, 245788, 3.74166, 44091
data\OR10x500-0.75_6.dat, 6.2746, 282897, 19.4626, 243091, 243091, 3.21742, 41466
data\OR10x500-0.75_7.dat, 9.31852, 276535, 19.6667, 244978, 244978, 3.45069, 45799
data\OR10x500-0.75_8.dat, 2.50946, 289038, 18.2244, 242447, 242447, 4.25835, 44675
data\OR10x500-0.75_9.dat, 4.83311, 286794, 19.5521, 242437, 242437, 3.66981, 42601
data\OR30x100-0.25_1.dat, 14.44, 18777, 22.8986, 16920.7, 16920.7, 4.14805, 9891
data\OR30x100-0.25_10.dat, 5.75704, 19775, 21.3352, 16506.2, 16506.2, 6.76326, 10482
data\OR30x100-0.25_2.dat, 4.27335, 20788, 19.8049, 17415.2, 17415.2, 6.1301, 10528
data\OR30x100-0.25_3.dat, 3.92214, 19940, 19.9576, 16612, 16612, 6.36301, 10506
data\OR30x100-0.25_4.dat, 14.0654, 18445, 21.7426, 16797.2, 16797.2, 3.03003, 10269
data\OR30x100-0.25_5.dat, 3.32357, 21118, 19.9579, 17484.4, 17484.4, 5.33491, 10167
data\OR30x100-0.25_6.dat, 3.61201, 21375, 19.315, 17892.7, 17892.7, 5.48966, 10539
data\OR30x100-0.25_7.dat, 10.5372, 19502, 19.9118, 17458.4, 17458.4, 3.70189, 11108
data\OR30x100-0.25_8.dat, 12.9084, 18635, 21.274, 16845, 16845, 3.72837, 10059
data\OR30x100-0.25_9.dat, 3.10766, 21825, 18.2249, 18419.8, 18419.8, 4.81039, 10220
data\OR30x100-0.50_1.dat, 4.69743, 38852, 9.29355, 36978.3, 36978.3, 1.26894, 10953
data\OR30x100-0.50_10.dat, 1.89209, 40911, 10.2142, 37440.7, 37440.7, 2.24805, 11265
data\OR30x100-0.50_2.dat, 3.01879, 40061, 9.12325, 37539.4, 37539.4, 1.54108, 10307
data\OR30x100-0.50_3.dat, 6.28153, 39015, 9.7047, 37589.9, 37589.9, 1.01413, 10906
data\OR30x100-0.50_4.dat, 7.69718, 37882, 10.4188, 36765, 36765, 0.857909, 11206
data\OR30x100-0.50_5.dat, 7.53014, 37810, 9.28473, 37092.6, 37092.6, 0.806415, 11450
data\OR30x100-0.50_6.dat, 2.90565, 39865, 9.48853, 37162.2, 37162.2, 1.98432, 10792
data\OR30x100-0.50_7.dat, 4.55652, 39191, 9.65954, 37095.6, 37095.6, 1.11559, 11066
data\OR30x100-0.50_8.dat, 8.72445, 38992, 10.5458, 38213.9, 38213.9, 0.644365, 11577
data\OR30x100-0.50_9.dat, 0.968506, 41821, 9.61576, 38169.3, 38169.3, 1.7643, 11011
data\OR30x100-0.75_1.dat, 1.66104, 56539, 7.01859, 53458.7, 53458.7, 1.34992, 10298
data\OR30x100-0.75_10.dat, 1.09071, 59942, 6.13847, 56882.9, 56882.9, 1.54007, 9775
data\OR30x100-0.75_2.dat, 0.658037, 59632, 6.13851, 56342.2, 56342.2, 2.03848, 10084
data\OR30x100-0.75_3.dat, 5.68628, 54751, 7.13257, 53911.4, 53911.4, 0.690593, 10356
data\OR30x100-0.75_4.dat, 3.21838, 58820, 7.21754, 56389.5, 56389.5, 1.17843, 10913
data\OR30x100-0.75_5.dat, 3.24536, 56973, 7.46479, 54488.4, 54488.4, 1.36553, 10534
data\OR30x100-0.75_6.dat, 1.88632, 58879, 6.38183, 56181.2, 56181.2, 1.71182, 9759
data\OR30x100-0.75_7.dat, 0.932361, 57590, 7.03055, 54045, 54045, 1.6499, 10836
data\OR30x100-0.75_8.dat, 1.90471, 57939, 7.07555, 54884.9, 54884.9, 1.41228, 10413
data\OR30x100-0.75_9.dat, 4.234, 56478, 7.24307, 54703.4, 54703.4, 0.993038, 10564
data\OR30x250-0.25_1.dat, 15.9548, 47773, 22.5407, -6.5621e+07, 44029.4, 3.48448, 27488
data\OR30x250-0.25_10.dat, 10.6436, 50439, 19.7712, -1.03182e+08, 45286.7, 5.044, 27539
data\OR30x250-0.25_2.dat, 15.1504, 49654, 21.2901, -5.29949e+07, 46061, 3.87714, 28469
data\OR30x250-0.25_3.dat, 9.55771, 51203, 21.2807, -7.05227e+07, 44566.1, 4.6406, 27051
data\OR30x250-0.25_4.dat, 15.7527, 47962, 20.9244, -4.77697e+07, 45017.7, 3.11685, 26955
data\OR30x250-0.25_5.dat, 8.757, 51670, 21.6901, -5.28732e+07, 44346.1, 5.67212, 27433
data\OR30x250-0.25_6.dat, 12.4604, 50077, 22.7664, -5.71712e+07, 44181.5, 4.61598, 28417
data\OR30x250-0.25_7.dat, 12.5468, 49286, 21.0338, -7.34177e+07, 44503, 4.41165, 27584
data\OR30x250-0.25_8.dat, 11.0704, 50207, 21.1986, -7.16207e+07, 44488.9, 4.0417, 27245
data\OR30x250-0.25_9.dat, 5.87396, 54098, 20.8349, -6.59841e+07, 45499.4, 5.72755, 27379
data\OR30x250-0.50_1.dat, 10.5586, 96391, 12.2125, 94608.6, 94608.6, 0.687286, 29375
data\OR30x250-0.50_10.dat, 11.003, 94141, 12.4211, 92641, 92641, 0.51287, 29507
data\OR30x250-0.50_2.dat, 3.62665, 104461, 12.0241, 95358.8, 95358.8, 1.99108, 28609
data\OR30x250-0.50_3.dat, 7.08179, 98904, 11.4, 94307.6, 94307.6, 1.16534, 28634
data\OR30x250-0.50_4.dat, 4.82896, 101715, 11.5848, 94494.7, 94494.7, 1.7162, 28108
data\OR30x250-0.50_5.dat, 7.20949, 99670, 12.0318, 94490.2, 94490.2, 1.29915, 30398
data\OR30x250-0.50_6.dat, 7.85021, 98850, 11.4226, 95017.8, 95017.8, 0.811502, 30053
data\OR30x250-0.50_7.dat, 2.7385, 103459, 11.4628, 94178.8, 94178.8, 2.46996, 28819
data\OR30x250-0.50_8.dat, 10.4401, 93171, 12.3646, 91168.9, 91168.9, 0.718656, 28684
data\OR30x250-0.50_9.dat, 5.69645, 100769, 11.6738, 94381.8, 94381.8, 1.46944, 29553
data\OR30x250-0.75_1.dat, 2.15499, 146927, 11.9098, 132279, 132279, 2.95395, 27903
data\OR30x250-0.75_10.dat, 5.9024, 140834, 12.4329, 131060, 131060, 2.3188, 28098
data\OR30x250-0.75_2.dat, 7.146, 139242, 12.8107, 130747, 130747, 2.23593, 28045
data\OR30x250-0.75_3.dat, 4.90827, 145497, 12.6885, 133593, 133593, 2.34958, 27527
data\OR30x250-0.75_4.dat, 1.69414, 150638, 11.8497, 135076, 135076, 3.3783, 27423
data\OR30x250-0.75_5.dat, 5.35442, 142240, 12.5713, 131394, 131394, 2.54676, 27509
