c1, c2, w, penalty, epochs
0.670175,0.935928,1,0,600
intacia,nOpt,melhor_gap, melhor_fit, gap_medio, fit_medio, fobj_medio, dp, tempo(ms)
data\sac94\pb\pb1.dat, 13, 0, 3090, 0.484358, 3075.03, 3075.03, 0.512206, 1337
data\sac94\pb\pb2.dat, 0, 0.94162, 3156, 2.80603, 3096.6, 3096.6, 0.952494, 1653
data\sac94\pb\pb4.dat, 22, 0, 95168, 0.195234, 94982.2, 94982.2, 0.614138, 1332
data\sac94\pb\pb5.dat, 21, 0, 2139, 0.310114, 2132.37, 2132.37, 0.534472, 1144
data\sac94\pb\pb6.dat, 5, 0, 776, 5.2921, 734.933, 734.933, 4.13737, 3753
data\sac94\pb\pb7.dat, 0, 0.0966184, 1034, 3.09179, 1003, 1003, 1.96906, 3815
