c1, c2, w, penalty, epochs
0.670175,0.935928,1,0,600
intacia, melhor_gap, melhor_fit, gap_medio, fit_medio, fobj_medio, dp, tempo(ms)
data\OR10x250-0.75_7.dat, 5.49138, 144722, 9.00362, 139344, 139344, 1.69743, 19847
data\OR10x250-0.75_8.dat, 4.36651, 146872, 8.68998, 140232, 140232, 1.91299, 20262
data\OR10x250-0.75_9.dat, 2.24122, 145817, 8.35785, 136693, 136693, 1.97185, 20121
data\OR10x500-0.25_1.dat, 14.2615, 101018, 17.1611, 97601.6, 97601.6, 1.30732, 39616
data\OR10x500-0.25_10.dat, 16.1156, 100033, 18.0697, 97702.7, 97702.7, 0.977612, 38947
data\OR10x500-0.25_2.dat, 15.0861, 101259, 17.9385, 97857.5, 97857.5, 1.2256, 37932
data\OR10x500-0.25_3.dat, 12.9506, 103776, 18.1208, 97612.3, 97612.3, 1.66714, 39733
data\OR10x500-0.25_4.dat, 15.2379, 100722, 18.1639, 97245, 97245, 1.48916, 39608
data\OR10x500-0.25_5.dat, 14.3045, 99861, 17.6018, 96018.6, 96018.6, 1.50193, 40098
data\OR10x500-0.25_6.dat, 15.7819, 100644, 18.4906, 97407, 97407, 1.35671, 39523
data\OR10x500-0.25_7.dat, 13.0021, 104247, 18.0147, 98240.5, 98240.5, 1.38386, 39095
data\OR10x500-0.25_8.dat, 14.6252, 101036, 18.1254, 96893.7, 96893.7, 1.2717, 40560
data\OR10x500-0.25_9.dat, 15.4751, 99583, 17.7615, 96889.2, 96889.2, 1.04757, 38965
data\OR10x500-0.50_1.dat, 9.14126, 197506, 11.6746, 191999, 191999, 0.861507, 42786
data\OR10x500-0.50_10.dat, 9.42105, 200088, 11.8104, 194810, 194810, 0.656005, 41369
data\OR10x500-0.50_2.dat, 7.71783, 202169, 12.0865, 192598, 192598, 1.14952, 43743
data\OR10x500-0.50_3.dat, 9.47316, 197210, 11.965, 191782, 191782, 0.974086, 42969
data\OR10x500-0.50_4.dat, 7.79829, 199956, 12.2007, 190409, 190409, 1.56083, 43066
data\OR10x500-0.50_5.dat, 7.3712, 198108, 11.848, 188533, 188533, 0.942147, 42552
data\OR10x500-0.50_6.dat, 7.8285, 198248, 12.2504, 188737, 188737, 1.19264, 43306
data\OR10x500-0.50_7.dat, 9.62834, 196956, 12.2759, 191186, 191186, 0.898463, 44886
data\OR10x500-0.50_8.dat, 10.2564, 197427, 11.8792, 193857, 193857, 0.713572, 43513
data\OR10x500-0.50_9.dat, 5.93427, 201660, 11.914, 188840, 188840, 1.4084, 44639
data\OR10x500-0.75_1.dat, 5.76864, 286828, 14.8602, 259154, 259154, 4.08425, 41724
data\OR10x500-0.75_10.dat, 5.24734, 290975, 14.9607, 261146, 261146, 4.44247, 39195
data\OR10x500-0.75_2.dat, 5.21333, 286615, 14.5896, 258263, 258263, 3.8595, 39732
data\OR10x500-0.75_3.dat, 5.96031, 284392, 13.5332, 261490, 261490, 4.05566, 39951
data\OR10x500-0.75_4.dat, 5.82943, 283250, 14.8094, 256240, 256240, 3.54145, 39548
data\OR10x500-0.75_5.dat, 5.56421, 287438, 15.3733, 257582, 257582, 3.22254, 39634
data\OR10x500-0.75_6.dat, 3.40384, 291562, 13.4459, 261251, 261251, 4.88989, 39700
data\OR10x500-0.75_7.dat, 3.60483, 293959, 13.7677, 262967, 262967, 4.84303, 40866
data\OR10x500-0.75_8.dat, 5.80043, 279281, 14.1666, 254477, 254477, 4.37695, 39314
data\OR10x500-0.75_9.dat, 5.63746, 284370, 15.4028, 254941, 254941, 3.9354, 39294
data\OR30x100-0.25_1.dat, 5.30393, 20782, 11.3261, 19460.4, 19460.4, 2.75059, 9548
data\OR30x100-0.25_10.dat, 4.86584, 19962, 10.5026, 18779.2, 18779.2, 2.78292, 9393
data\OR30x100-0.25_2.dat, 6.28108, 20352, 11.6768, 19180.3, 19180.3, 2.60217, 9732
data\OR30x100-0.25_3.dat, 7.36725, 19225, 10.7984, 18512.9, 18512.9, 2.31607, 9292
