c1, c2, w, penalty, epochs
0.601321,1.79865,1,0,600
intacia,nOpt,melhor_gap, melhor_fit, gap_medio, fit_medio, fobj_medio, dp, tempo(ms)
data\sac94\pb\pb1.dat, 9, 0, 3090, 0.604099, 3071.33, 3071.33, 0.485245, 1499
data\sac94\pb\pb2.dat, 0, 0.690521, 3164, 2.77673, 3097.53, 3097.53, 0.811581, 2045
data\sac94\pb\pb4.dat, 19, 0, 95168, 0.362377, 94823.1, 94823.1, 0.850298, 1513
data\sac94\pb\pb5.dat, 21, 0, 2139, 0.305439, 2132.47, 2132.47, 0.580882, 1344
data\sac94\pb\pb6.dat, 8, 0, 776, 4.75086, 739.133, 739.133, 5.07048, 4688
data\sac94\pb\pb7.dat, 0, 0.0966184, 1034, 3.13366, 1002.57, 1002.57, 2.14653, 4736
