Sem restricao da velocidade, w dinamico. penalidade NAo dinamica.

c1, c2, w, penalty, epochs
0.601321,1.7986,1,329.594,600
intacia, melhor_gap, melhor_fit, gap_medio, fit_medio, fobj_medio, dp, tempo(ms)
data\OR10x250-0.75_6.dat, 4.23907, 145661, 8.84526, 138655, 138655, 1.83069, 20351
data\OR10x250-0.75_7.dat, 5.34183, 144951, 8.56589, 140014, 140014, 1.58648, 21203
data\OR10x250-0.75_8.dat, 2.6664, 149483, 8.44201, 140613, 140613, 2.05651, 20404
data\OR10x250-0.75_9.dat, 5.08715, 141572, 8.62506, 136295, 136295, 1.54097, 19845
data\OR10x500-0.25_1.dat, 13.4891, 101928, 17.0496, 97732.9, 97732.9, 1.35243, 40921
data\OR10x500-0.25_10.dat, 15.3969, 100890, 17.7655, 98065.5, 98065.5, 1.05214, 40209
data\OR10x500-0.25_2.dat, 14.3054, 102190, 17.2917, 98628.8, 98628.8, 1.37355, 40514
data\OR10x500-0.25_3.dat, 14.7096, 101679, 17.816, 97975.6, 97975.6, 1.30026, 40548
data\OR10x500-0.25_4.dat, 14.4056, 101711, 17.6561, 97848.4, 97848.4, 1.0654, 41536
data\OR10x500-0.25_5.dat, 13.8333, 100410, 17.5465, 96083, 96083, 1.64035, 39558
data\OR10x500-0.25_6.dat, 15.6681, 100780, 17.7731, 98264.4, 98264.4, 1.03311, 39919
data\OR10x500-0.25_7.dat, 14.3448, 102638, 17.8853, 98395.6, 98395.6, 1.62304, 41874
data\OR10x500-0.25_8.dat, 11.2688, 105008, 17.7605, 97325.5, 97325.5, 1.49596, 39513
data\OR10x500-0.25_9.dat, 14.9149, 100243, 17.6014, 97077.9, 97077.9, 1.34746, 40921
data\OR10x500-0.50_1.dat, 7.57164, 200918, 11.4897, 192401, 192401, 1.2447, 43316
data\OR10x500-0.50_10.dat, 5.99641, 207653, 11.0877, 196406, 196406, 1.5475, 44059
data\OR10x500-0.50_2.dat, 10.0134, 197140, 12.3449, 192032, 192032, 0.710442, 44301
data\OR10x500-0.50_3.dat, 9.3988, 197372, 11.9292, 191860, 191860, 0.963366, 43712
data\OR10x500-0.50_4.dat, 7.92602, 199679, 12.6823, 189364, 189364, 1.07767, 43826
data\OR10x500-0.50_5.dat, 5.69637, 201690, 11.6739, 188906, 188906, 1.20482, 41614
data\OR10x500-0.50_6.dat, 8.31342, 197205, 12.0479, 189173, 189173, 1.10162, 43744
data\OR10x500-0.50_7.dat, 9.12958, 198043, 12.2526, 191237, 191237, 0.934543, 44365
data\OR10x500-0.50_8.dat, 9.69044, 198672, 12.1138, 193341, 193341, 0.718307, 42886
data\OR10x500-0.50_9.dat, 10.1921, 192532, 11.8756, 188923, 188923, 0.790596, 43023
data\OR10x500-0.75_1.dat, 4.0051, 292196, 14.947, 258890, 258890, 3.74301, 40000
data\OR10x500-0.75_10.dat, 3.64455, 295897, 13.9408, 264278, 264278, 3.8213, 40535
data\OR10x500-0.75_2.dat, 8.53366, 276575, 16.1616, 253510, 253510, 2.8692, 40621
data\OR10x500-0.75_3.dat, 3.39267, 292157, 11.0694, 268941, 268941, 4.54333, 40702
data\OR10x500-0.75_4.dat, 4.73995, 286527, 15.0572, 255494, 255494, 3.4761, 39767
data\OR10x500-0.75_5.dat, 3.57028, 293507, 13.1588, 264322, 264322, 4.60613, 41403
data\OR10x500-0.75_6.dat, 3.51814, 291217, 13.081, 262353, 262353, 4.27044, 40714
data\OR10x500-0.75_7.dat, 4.56465, 291032, 14.6317, 260332, 260332, 3.82434, 41458
data\OR10x500-0.75_8.dat, 5.46988, 280261, 13.85, 255416, 255416, 4.25046, 40220
data\OR10x500-0.75_9.dat, 6.29847, 282378, 15.2754, 255325, 255325, 3.62188, 40313
data\OR30x100-0.25_1.dat, 3.17142, 21250, 11.5225, 19417.3, 19417.3, 2.96107, 9417
data\OR30x100-0.25_10.dat, 4.04137, 20135, 9.87545, 18910.8, 18910.8, 2.79227, 9365
data\OR30x100-0.25_2.dat, 3.5734, 20940, 10.4547, 19445.7, 19445.7, 2.54002, 9770
data\OR30x100-0.25_3.dat, 3.05483, 20120, 10.3458, 18606.8, 18606.8, 3.49529, 9627
data\OR30x100-0.25_4.dat, 5.34383, 20317, 10.7749, 19151.3, 19151.3, 2.50853, 9244
data\OR30x100-0.25_5.dat, 4.93042, 20767, 11.0042, 19440.2, 19440.2, 3.17944, 9853
data\OR30x100-0.25_6.dat, 4.69877, 21134, 10.1705, 19920.6, 19920.6, 2.41483, 9569
data\OR30x100-0.25_7.dat, 4.53691, 20810, 10.2858, 19556.8, 19556.8, 2.54271, 9622
data\OR30x100-0.25_8.dat, 1.75258, 21022, 10.3733, 19177.4, 19177.4, 2.85657, 9938
data\OR30x100-0.25_9.dat, 6.05993, 21160, 10.1927, 20229.1, 20229.1, 2.06644, 9644
data\OR30x100-0.50_1.dat, 4.98197, 38736, 8.14613, 37446.1, 37446.1, 1.38292, 9210
data\OR30x100-0.50_10.dat, 4.58513, 39788, 9.32734, 37810.5, 37810.5, 1.62783, 9535
data\OR30x100-0.50_2.dat, 5.14428, 39183, 8.12926, 37950, 37950, 1.25074, 9222
data\OR30x100-0.50_3.dat, 3.46625, 40187, 7.93442, 38326.9, 38326.9, 1.91837, 9551
data\OR30x100-0.50_4.dat, 1.81038, 40298, 7.67249, 37892.1, 37892.1, 2.23269, 9276
data\OR30x100-0.50_5.dat, 3.45325, 39477, 7.81131, 37695, 37695, 1.31268, 9443
data\OR30x100-0.50_6.dat, 2.13357, 40182, 8.24013, 37674.8, 37674.8, 1.97753, 9393
data\OR30x100-0.50_7.dat, 5.16292, 38942, 8.02932, 37765, 37765, 1.48761, 9336
